Gene,logFC,logCPM,F,PValue,FDR,mouse_gene
DUOX2,2.393071611946205,6.37791876224345,19.88641526175483,7.609261905837284e-5,0.12035830367984456,Duox2
CLDN10,2.366827286009791,2.5146326005912054,4.995243929575299,0.03165169844656332,0.26883118802372685,Cldn10
TPTE2P2,2.365509724303619,0.8957153454419502,17.640433545824187,1.6521803504799705e-4,0.12035830367984456,NA
3-Sep,2.361255629489975,0.7849288649402835,9.432478644868342,0.0040221889312173,0.16069697561566404,NA
CNTN1,2.356226876688078,0.6346990909700997,7.828973090284774,0.00817422792514716,0.16739842652478312,Cntn1
AC011043.2,2.3280293970999426,0.44833662984320505,10.935668959683255,0.00213152352669284,0.14889400735503108,NA
DDX11L9,2.3179135468558427,0.5476180467978056,8.546684831659054,0.0059251076119219,0.16248981316728597,NA
MT1G,2.3174980241597423,6.598131356323221,4.13346849916281,0.04939556556109673,0.3257767098310268,NA
ERBB4,2.307292532718124,0.7418711180454717,6.356252232938704,0.01622008894067376,0.20447599574587452,Erbb4
SNCAIP,2.306573159964944,2.090509423384615,12.287915732471127,0.00123032936738511,0.1457608296450643,Sncaip
ANKRD1,2.3048817053344894,0.7357954345589429,11.781450341307602,0.0015080970864267,0.1474240862200623,Ankrd1
KRT42P,2.3040786568880285,1.041545684003681,7.847921867668476,0.00810429512365883,0.16739842652478312,NA
ARFGEF3,2.295415953743467,4.246875131388622,8.346873430739148,0.00647562636052617,0.1632672337372952,Arfgef3
RP11-744K17.8,2.29156211757383,0.546921163797134,12.275117972369255,0.00123663440233267,0.1457608296450643,NA
FAM167A,2.2913206074440597,0.1479067737806101,9.652792135831367,0.00365851385078502,0.1581209693531294,Fam167a
TMEM132B,2.2801900773088772,1.927382121692862,14.428549552221767,5.349999406908616e-4,0.1457608296450643,Tmem132b
ATP8A2,2.277954292696912,0.34686406471152487,8.829606639874799,0.00522962015901483,0.16071701442915484,Atp8a2
RP1L1,2.275565119717718,1.3064470199816725,11.590828158624008,0.00162931052977559,0.14889400735503108,Rp1l1
SNAP25,2.274994103492047,2.1377089857224125,12.878791690201773,9.734164033011506e-4,0.1457608296450643,Snap25
VWDE,2.273099274591927,1.390404455248457,6.89757199643972,0.01255593210558329,0.1882136501380493,Vwde
RP11-459O16.8,2.270204989592192,2.329807266759103,9.109599097717505,0.00462663535596599,0.16069697561566404,NA
UGT1A8,2.264970814270789,1.913913989514744,7.36138386673223,0.01012230775580816,0.17843822716114338,Ugt1a10
UGT1A8,2.264970814270789,1.913913989514744,7.36138386673223,0.01012230775580816,0.17843822716114338,Ugt1a9
PPIAL4G,2.2607909843214,2.706222397436175,12.230218058155698,0.00125902824819852,0.1457608296450643,NA
IGFN1,2.241644612421734,3.4232845591008743,7.3484060123594706,0.01018303292582321,0.17871028099033515,Igfn1
DPY19L2P1,2.23931042042786,1.510834251057821,14.482817433035594,5.24110674129055e-4,0.1457608296450643,NA
PRLHR,2.2362040055559356,1.0448957529289655,12.155793195031157,0.00129710284870902,0.1457608296450643,Prlhr
SV2C,2.235729738205217,1.0153452963237055,12.484831591647682,0.001137506892314,0.1457608296450643,Sv2c
CACNG8,2.230177064277502,1.3582539452200653,12.446583858002771,0.00115493586616748,0.1457608296450643,Cacng8
FAM83B,2.2272772662399936,2.454799822815563,13.24997757818433,8.416922642112521e-4,0.1457608296450643,Fam83b
SLC13A4,2.2214971166022877,0.8288983756818955,5.944812506991889,0.01977506785627603,0.22160101057721004,Slc13a4
LRRC74B,2.2188274682453892,1.1105489406543472,13.051919926358195,9.094420730949412e-4,0.1457608296450643,Lrrc74b
PTCHD1,2.218128097569741,1.519328103029861,12.056495558521956,0.00134981965987905,0.14614823778156685,Ptchd1
PZP,2.2151533384537667,5.618522098457998,4.67574793008512,0.03724765529465423,0.28711486207171016,Mug1
PZP,2.2151533384537667,5.618522098457998,4.67574793008512,0.03724765529465423,0.28711486207171016,Mug2
SYT13,2.202795636981605,1.1173779266876085,10.062407373010254,0.00307237823251259,0.1533134614249029,Syt13
LSAMP,2.2025618593418876,1.6957726308631398,9.865435190188991,0.00334062907366592,0.1556331864803021,Lsamp
GABRG3,2.2000653711513434,1.7727961586737726,12.081474155716544,0.00133634755705157,0.14614823778156685,Gabrg3
GALR1,2.191220946967369,1.1569648823109535,8.788097027715882,0.00532594309787766,0.16105990575483342,Galr1
PCDHAC2,2.1910297259566853,1.6363529540752533,10.069363978482432,0.00306333480608771,0.1533134614249029,Pcdhac2
SBSPON,2.187207752722586,1.363178872299379,11.975443106423546,0.00139453900590098,0.14658895002727643,Sbspon
ABHD12B,2.173906263583683,3.23570133021076,13.671224342065024,7.14789186189697e-4,0.1457608296450643,Abhd12b
MUSK,2.173119637974928,0.943352285066824,6.281179525831142,0.01681335678933631,0.20788910239748992,Musk
HS3ST1,2.1692391173510743,1.3613843790882263,17.03002908327465,2.0526008623635044e-4,0.12035830367984456,Hs3st1
LRRC19,2.164571969403736,1.0617488054362698,16.091658823926164,2.881488984043399e-4,0.1286468014254403,Lrrc19
FAM155A,2.164479760629893,1.0200793741827128,10.404211316530574,0.00265991535001116,0.15053491711366251,NA
PCDHAC1,2.1616849962065,0.7399471733368179,11.269295224299857,0.00185787599037234,0.14889400735503108,Pcdhac1
DLGAP1,2.1599278130973216,0.7799646037406291,9.177518599345522,0.00449186342404424,0.16069697561566404,Dlgap1
MTCO3P39,2.1476785463431725,0.9733680699301684,9.505662961729858,0.00389727640130988,0.16014703699810454,NA
CIDEC,2.1426099172136857,0.1289535974699657,8.891476280857374,0.00508949399510744,0.16069697561566404,Cidec
CHRM5,2.1416797785163855,0.2754057748721746,10.214764240482282,0.0028806734786522,0.1533134614249029,Chrm5
TMEM178B,2.141150976514305,1.909271524786716,9.265236447783762,0.00432398138599166,0.16069697561566404,Tmem178b
SSUH2,2.1338018337912854,1.5950108415904458,8.352270563090235,0.00646005698651076,0.1632672337372952,Ssu2
CRB1,2.1261882557192124,0.9045409886923648,7.459863186732183,0.00967399393072491,0.1767574763752374,Crb1
KCNJ15,2.12365749085589,6.913743304674532,13.013293197572882,9.233177700808416e-4,0.1457608296450643,Kcnj15
GNRHR2,2.123427007570313,6.9650980668080775,8.467863717633291,0.00613604394075638,0.1632672337372952,NA
UTS2B,2.1214174689200687,3.649290222388093,13.742140533878956,6.955043327305723e-4,0.1457608296450643,Uts2b
RP11-266L9.1,2.1198626789886363,0.5121591605664663,13.66820198517256,7.1562359526708e-4,0.1457608296450643,NA
GS1-279B7.1,2.1186879808676338,0.7207831119747451,11.32090229329618,0.00181900291844321,0.14889400735503108,NA
DNAH8,2.1156508665619427,0.5764289908377329,8.213529610674163,0.00687333774496633,0.1640435802187833,Dnah8
ERC2,2.111085092303716,0.4028484782958656,8.10462157364679,0.00721758494032783,0.1659287475437535,Erc2
CTSV,2.1078303163135,0.33946689296837357,13.251288678812994,8.412620676367144e-4,0.1457608296450643,Ctsl
TMEM163,2.1073228897487977,1.3621672512518217,7.9522758246956275,0.00773048757470062,0.16738403664038873,Tmem163
GALNT5,2.098468580527341,1.6670801379329407,13.465239502282484,7.740946968206192e-4,0.1457608296450643,Galnt5
RIMKLA,2.0979204267917497,1.3855746883182671,17.72976860049894,1.600905022760488e-4,0.12035830367984456,Rimkla
CDRT1,2.0947364967270015,2.2985929987865323,13.42332016680249,7.867916312820747e-4,0.1457608296450643,NA
DCLK3,2.094586372958194,0.1707462659243308,9.963816591700896,0.00320365204845243,0.1533134614249029,Dclk3
OR11A1,2.093147966924215,1.0076122442441375,7.119886965144692,0.0113190180551006,0.18225783490837325,Or11a4
MAP3K15,2.092572757138871,0.6039619570613713,11.032910382617157,0.00204758611503743,0.14889400735503108,Map3k15
ATP8B5P,2.0912108100312485,0.5063222618913394,9.106944892441147,0.00463198904299328,0.16069697561566404,NA
VNN2,2.090325711304535,3.193080497212184,13.690140810763204,7.095901614298229e-4,0.1457608296450643,NA
PIP5KL1,2.0891802436049436,-0.0645088887869068,9.448814129961605,0.00399394111577192,0.16069697561566404,Pip5kl1
CHRNA5,2.0891340301768206,-0.1206842085152231,12.65397935771403,0.00106371374648786,0.1457608296450643,Chrna5
AMER2,2.084459732969661,1.6577854939653374,12.58595728355563,0.00109275849111838,0.1457608296450643,Amer2
TENM3,2.0838046869728304,0.9410944688428649,6.303079171096782,0.01663790837948053,0.20689958362059885,Tenm3
PRAMEF10,2.0796138918351903,2.5818133938103904,4.425319622506306,0.04239240235573612,0.30394101324409933,Pramel1
PRAMEF10,2.0796138918351903,2.5818133938103904,4.425319622506306,0.04239240235573612,0.30394101324409933,Pramel48
MUC5B,2.0768983273933213,3.4754296427137197,3.208109112045895,0.08160498544566833,0.3962579161157527,Muc5b
ATP1A4,2.0725413376270825,0.8313330972497377,10.841373176109569,0.00221642628877448,0.14889400735503108,Atp1a4
RP11-52B19.10,2.0697573487473133,0.37910547731605376,8.581572194999007,0.00583423441251819,0.16170422526910738,NA
CCNYL2,2.062786162304321,0.3793212873464572,12.35469251152758,0.00119798051108712,0.1457608296450643,NA
PCDHB6,2.0564436809083717,-0.347889804603004,10.245348808966112,0.00284375078894406,0.15319491063899243,Pcdhb13
SLC25A21,2.0531867977460307,0.41666531647052985,16.164769931418434,2.8056343210699716e-4,0.1286468014254403,Slc25a21
MT1F,2.0528244964769424,5.100421356453976,4.266209290757595,0.04606393846086898,0.316526705255863,Mt1
KCNQ5,2.052654195017732,0.20742237452848747,7.9992936003977695,0.00756814559490833,0.16738403664038873,Kcnq5
FLNC,2.044378681023753,2.8946425656664827,10.0995435432639,0.00302442957109869,0.1533134614249029,Flnc
RP11-766F14.2,2.0436276386374224,0.2565391063719264,7.810465096755213,0.00824315924180357,0.16748923433622792,NA
ANKRD20A17P,2.0418103412698514,0.9124635072266412,8.414204536292862,0.00628423464379729,0.1632672337372952,NA
SLC30A2,2.039031497712882,0.9436413005248664,14.810423560069289,4.631771420297152e-4,0.14436270206016727,Slc30a2
RP5-1063M23.3,2.034419851138245,1.8091087298367168,10.858353100773108,0.00220087575982152,0.14889400735503108,NA
RP11-390M11.1,2.0317523063585456,0.15154525763701118,12.93662583907598,9.51529372560364e-4,0.1457608296450643,NA
RP11-402K9.1,2.0313518881665256,1.6041451057553324,6.8513726257942436,0.01283080132723621,0.18975012908784175,NA
NOS1,2.026978645580414,0.8950833295993545,6.696097959135807,0.01380316890317449,0.1937476902049312,Nos1
FAM92B,2.0230893608561535,0.9070336164304847,8.828009829839953,0.00523329088749728,0.16071701442915484,NA
COL9A1,2.0214189323781775,0.2639317297798682,8.86546639837724,0.00514790730342032,0.16069697561566404,Col9a1
ZNF280B,2.0168683717225435,0.2638626236011274,9.15069339958025,0.0045445842266815,0.16069697561566404,Zfp280b
ARNT2,2.010148144187591,2.63400547268111,9.001437039072487,0.00485026090048215,0.16069697561566404,Arnt2
AC008072.1,2.0047962198490814,1.6427518557669882,12.177779755004456,0.00128572903413238,0.1457608296450643,NA
NUTM2B,1.9970715245620905,0.8091652212727348,8.974113388035633,0.00490856228207764,0.16069697561566404,Nutm2
RP11-646I6.3,1.995703897458898,0.6492327270654817,11.443337680363358,0.00173020035980505,0.14889400735503108,NA
COMP,1.993490867825865,0.17335516045383764,12.271375917282572,0.00123848447482034,0.1457608296450643,Comp
FOXL2NB,1.988890295137314,0.8772926669362873,12.033260176099688,0.00136248130143236,0.14614823778156685,NA
RAB3C,1.98840022066202,1.7462093545112152,6.3756025785995325,0.01607086291922454,0.20430254977746623,Rab3c
ANKRD20A8P,1.9873372876265216,3.066097049879647,6.907754058888198,0.01249620943055859,0.18800080472076272,Potegl
BMP8A,1.986634222878451,1.4613500756747009,18.679252695837423,1.149219064865963e-4,0.12035830367984456,Bmp8a
AGGF1P3,1.9858572894983209,0.0915312321419961,7.884878416354207,0.00796974194129171,0.16739842652478312,NA
PSORS1C1,1.9858415184820128,1.0508554120028195,8.022677612747895,0.00748877022412938,0.16738403664038873,NA
DUX4,1.982727157556521,1.051084251196541,5.239668797965218,0.02799038413851312,0.25639393394487087,Duxbl1
C11orf88,1.9781732775511376,0.5292436839880421,14.97308417285248,4.357587567210736e-4,0.14182157426899883,NA
EIF5AL1,1.9748739162840987,0.3536888057491671,10.98335969110061,0.00208990871432769,0.14889400735503108,Eif5a
ST18,1.974513908252308,1.6289495719676863,8.851604875615322,0.00517933018818422,0.16071701442915484,St18
ABCG4,1.9735772985199151,0.1444255201667253,6.220614114693665,0.01730906666244148,0.2107063170205386,Abcg4
MEIOC,1.972142306376249,0.7370005374282629,10.3749115362684,0.00269284375260852,0.15053491711366251,Meioc
BCAS1,1.9684986228573755,2.4561591454538916,10.587537884171518,0.00246338929153002,0.15053491711366251,Bcas1
IGDCC4,1.96510641238432,0.24188943100960136,7.574163823972161,0.00918023813989068,0.1744600091589337,Igdcc4
