Gene,logFC,logCPM,F,PValue,FDR
NUP85,-0.11501966082724287,5.1405982998598265,0.5058515610730462,0.4814800642168193,0.7698683668789738
SHPK,-0.11502070015529486,5.859083229884402,0.20886787976550134,0.6503761036128928,0.8647426638426736
TOMM5,-0.11506355005182804,3.6850897611562945,0.21767879361394546,0.643598814742766,0.8606499490598034
PSME3,-0.11506846678071388,5.077162481115463,0.18149665360236597,0.6726026042858709,0.8737985668766113
FYTTD1,-0.11517267447234933,5.3354357208441,0.40946370450319153,0.5262551509264382,0.7983478525360439
EFNA4,-0.11522381033052452,1.200151276958521,0.07754727813856009,0.7822274127065898,0.921524363892466
ITGA8,-0.11525419393459703,2.0209311949428383,0.06727848764175363,0.796804853913228,0.9283526890847639
AC109829.1,-0.11535590054883436,4.642089461347237,0.06868738093141422,0.7947373173541528,0.927140506173633
PDZRN3,-0.11541580805645822,1.4111626644673334,0.03442402396812873,0.8538393202603456,0.9492275207874452
ZKSCAN1,-0.11545492413461292,9.209558502556625,0.2570429805884775,0.6152213167036235,0.8473955208183209
OTUD6B,-0.11555766025150367,4.473276421854959,0.23508513758607788,0.6306881092499557,0.8544191401202196
SPIN1,-0.11568033004601751,5.379017208150018,0.2838169742714463,0.5974526540666398,0.8379453551135017
UGT1A2P,-0.11568817162380397,3.5731225612546798,0.10031924368520556,0.7532589670407905,0.9085871774806848
CD4,-0.11596307851966506,4.754407962464069,0.12079927201793483,0.73017395791913,0.899477700734547
TTC14,-0.11598419141773006,6.004759934998402,0.5253814568888304,0.4731958549215499,0.7647478713932553
NOMO3,-0.11602051854700512,5.6997185604098055,0.3401175444117694,0.5633628268240098,0.8195234947303951
AP3B1,-0.11609140144354343,6.031894453812144,0.7930847784173767,0.37902625560785874,0.705638985279637
IFT88,-0.1161109829969143,4.890875437346333,0.4581924706970613,0.5027555804414126,0.7835421263753736
SP140,-0.1161705895230516,3.1762096967291273,0.06089912718569256,0.8064689885213734,0.9311243718051069
IPO13,-0.11618098007486212,4.460639081787885,0.307811061462304,0.582424941706638,0.8294032424182719
PUS7L,-0.11626844011392475,5.138735061689659,0.24017160707631055,0.6270275248926531,0.852355955305661
TOPORS,-0.1164470302792679,5.64042082727157,0.34975629792512036,0.5579116807788487,0.8165875933399153
CYBB,-0.11653153192268112,4.573833924642097,0.1460273285636677,0.7045863924864009,0.8877841339181877
FGG,-0.11673256814172552,12.003754086148811,0.0979939330082901,0.7560396890395166,0.9096108060106447
ACSM2A,-0.11675395859101713,9.49443762383138,0.10471589588944707,0.7480968087498396,0.9062636538382665
GPSM3,-0.11688769174978486,2.061788024483654,0.09022361177315835,0.7656044787164296,0.913934122265985
PDCL3P4,-0.11691252021429067,1.7035413084295454,0.06323298494470624,0.8028735314381306,0.9302516300836245
MED13L,-0.11694609227508837,6.023394585485246,0.6520167114269254,0.42464566950542526,0.7368405267395084
